,id_uni,name_uni,city,plz,county,address,traeger,nr_students,found_year,long,lat,ap_auf,ap_ing,ap_num,ap_mug,ap_gus,ap_ruw,ap_sloth,ap_suk,ap_kgm,ap_lsg,studies
0,a-2509,Dresden International University,Dresden,01067,Sachsen,Freiberger Straße 37,privat,2000,2003,51.04922470000, 13.72175560000,"0,0%","13,9%","2,8%","44,4%","5,6%","33,3%","0,0%","0,0%","0,0%","0,0%","['Chiropraktik, Bachelor of Science, Master of Science', 'Clinical Research, Master of Science', 'Corporate Digital Leadership und Transformation, Master of Business Administration', 'Fahrzeugsicherheit und Verkehrsunfallforschung, Master of Science', 'Health Care Management, Master of Business Administration', 'Hebammenkunde - berufsbegleitend, Bachelor of Science', 'Human Communication, Master of Arts', 'Immobilienmanagement, Master of Science', 'Industrial Management in Microelectronics, Master of Science', 'International Commercial and Contract Management, Master of Business Administration', 'Kultur + Management, Master of Arts', 'Life and Business Coaching, Master of Arts', 'Logistics, Master of Business Administration', 'Management für Gesundheitsfachberufe, Bachelor of Arts', 'Management Sicherheit und Gesundheit bei der Arbeit, Master of Science', 'Medizinischer Behandlungsassistent, Bachelor of Science', 'Medizinrecht, Master of Laws', 'Montageingenieur (berufsbegleitend), Bachelor of Engineering', 'Multiple Sklerose Management, Master of Science', 'Non-Destructive Testing, Master of Science', 'Osteopathie, Bachelor of Science, Master of Science', 'Osteopathische Therapie, Bachelor of Science, Master of Science', 'Parodontologie und Implantattherapie, Master of Science', 'Physiotherapie (berufsbegleitend), Bachelor of Science', 'Präventions-, Therapie- und Rehabilitationswissenschaften, Bachelor of Science', 'Präventive und funktionelle Medizin, Master of Science', 'Unternehmensführung, Master of Business Administration', 'Vorbeugender Brandschutz, Master of Engineering', 'Wasserstofftechnologie und -wirtschaft, Master of Science', 'Wirtschaft und Recht, Master of Business Administration, Master of Laws']"
1,a-265,Hochschule für Musik Carl Maria von Weber Dresden,Dresden,01067,Sachsen,Wettiner Platz 13,staatlich,610,1856,51.05376600000, 13.72484900000,"0,0%","0,0%","0,0%","0,0%","2,2%","0,0%","0,0%","0,0%","82,6%","15,2%","['Ballettkorrepetition, Master of Music', 'Bläser/ Schlagzeug, Bachelor of Music, Master of Music', 'Cembalo/ Historische Tasteninstrumente, Master of Music', 'Chordirigieren, Bachelor of Music, Diplom, Master of Music', 'Dirigieren, Diplom', 'Gesang, Bachelor of Music, Diplom, Master of Music', 'Instrumental- und Gesangspädagogik, Diplom', 'Instrumental- und Gesangspädagogik (Lehramt), Bachelor of Education', 'Instrumentalkorrepetition, Master of Music', 'Jazz / Rock / Pop, Bachelor of Music, Diplom, Master of Music', 'Kirchenmusik (Lehramt Musik), Bachelor of Education, Master of Education', 'Klavier, Bachelor of Music, Diplom, Master of Music', 'Komposition, Bachelor of Music, Diplom, Master of Music', 'Korrepetition, Diplom', 'Liedklasse/ Pianisten, Master of Music', 'Musik (Lehramt), Bachelor of Education, Master of Education', 'Musikpädagogik, Diplom', 'Musiktheaterkorrepetition, Bachelor of Music, Master of Music', 'Musiktheorie, Bachelor of Music, Diplom', 'Orchesterdirigieren, Bachelor of Music, Diplom, Master of Music', 'Orchesterinstrumente/Blockflöte, Bachelor of Music, Diplom', 'Schulmusik (Lehramt), Bachelor, Master', 'Streicher/ Harfe, Bachelor of Music, Master of Music']"
2,a-3304,Fachhochschule Dresden (University of Applied Sciences),Dresden,01069,Sachsen,Güntzstraße 1,privat,591,2010,51.04695250000, 13.75498040000,"0,0%","0,0%","0,0%","16,7%","16,7%","41,7%","0,0%","16,7%","8,3%","0,0%","[', Bachelor of Arts', 'Business Administration, Bachelor of Arts', 'Digital Education Management (in Akkreditierung), Bachelor of Arts', ', Bachelor of Science', ', Bachelor of Science', ', Bachelor of Arts', ', Bachelor of Arts', ', Bachelor of Arts', ', Bachelor of Arts', ', Bachelor of Arts', ', Bachelor of Arts', ', Bachelor of Arts']"
3,a-285,Hochschule für Technik und Wirtschaft Dresden (University of Applied Sciences),Dresden,01069,Sachsen,Friedrich-List-Platz 1,staatlich,5189,1992,51.03748300000, 13.73516070000,"9,5%","40,5%","21,4%","0,0%","0,0%","16,7%","0,0%","4,8%","7,1%","0,0%","['Agrarwirtschaft, Bachelor of Science', 'Allgemeiner Maschinenbau, Diplom', 'Angewandte Informationstechnologien, Master of Science', 'Bauingenieurwesen, Diplom, Master of Science', 'Betriebswirtschaft, Bachelor of Arts', 'Chemieingenieurwesen, Bachelor of Science, Master of Science', 'Design: Produkt und Kommunikation, Bachelor of Arts', 'Elektrotechnik / Electrical Engineering, Master of Science', 'Elektrotechnik und Informationstechnik, Bachelor of Engineering, Diplom', 'Environmental Engineering, Master of Engineering', 'Fahrzeugtechnik, Diplom', 'Gartenbau, Bachelor of Science', 'Gebäudesystemtechnik, Staatsexamen', 'Geoinformatik/Management, Master of Engineering', 'Geomatik-Vermessung/ Kartographie/ Geoinformatik, Bachelor of Engineering', 'Human Resource Management, Master of Business Administration', 'Informatik, Bachelor of Science', 'International Business, Bachelor of Arts, Master of Arts', 'Landschaftsentwicklung, Master of Science', 'Management mittelständischer Unternehmen, Master of Arts', 'Medieninformatik, Bachelor of Science, Diplom', 'Produktgestaltung, Bachelor of Arts, Master of Arts', 'Produktionsmanagement in Agrarwirtschaft und Gartenbau, Master of Science', 'Produktionstechnik, Diplom', 'Umweltmonitoring, Bachelor of Science', 'Verwaltungsinformatik, Bachelor of Science', 'Wirtschaftsinformatik, Bachelor of Science, Staatsexamen', 'Wirtschaftsingenieurwesen, Bachelor of Engineering, Master of Engineering']"
4,a-411,Technische Universität Dresden,Dresden,01069,Sachsen,Zentrale Studienberatung,staatlich,33500,1828,51.02710000000, 13.72800000000,"3,8%","21,1%","20,5%","3,2%","9,7%","10,3%","0,0%","11,9%","1,1%","18,4%","[', Master of Science', 'Veranstaltungshinweise, Master of Science', 'Elektrotechnik, Master of Arts', ', Bachelor of Arts', ', Master of Arts', ', Diplom', ', Master of Science', ', Bachelor of Science, Diplom', ', Diplom', ', Staatsexamen', ', Master of Science', ', Master of Science', ', Master of Science', ', Master of Science', ', Master of Arts', ', Master of Science', ', Bachelor of Science, Master of Science', ', Staatsexamen', ', Master of Science', ', Staatsexamen', ', Master of Science', ', Master of Science', ', Master of Science', 'Abfallwirtschaft und Altlasten, Staatsexamen', 'ACCESS Advanced Computational and Civil Engineering Structural Studies, Diplom', 'Angewandte Medienforschung, Staatsexamen', 'Anglistik und Amerikanistik, Staatsexamen', 'Antike Kulturen, Master of Arts', 'Architektur, Staatsexamen', 'Bahnsystemingenieurwesen, Bachelor of Arts', 'Bauingenieurwesen, Staatsexamen', 'Bauingenieurwesen Aufbaustudium, Bachelor of Science, Master of Science', 'Bautechnik (Lehramt), Staatsexamen', 'Betriebswirtschaftslehre, Staatsexamen', 'Biochemistry, Master of Science', 'Biology in Society, Bachelor of Science', 'Biotechnologie und Angewandte Ökologie, Bachelor of Science, Master of Science', 'Business Ethics and Responsible Management, Staatsexamen', 'Cartography, Master of Science', 'Chemie, Bachelor of Arts', 'Chemie (Lehramt), Bachelor of Arts, Master of Arts', 'Computational Modeling and Simulation, Staatsexamen', 'Deutsch (Lehramt), Staatsexamen', 'Distributed Systems Engineering, Master of Arts', 'Ecosystem Services, Bachelor of Science', 'Elektrische Verkehrssysteme, Staatsexamen', 'Elektro- und Informationstechnik (Lehramt), Master of Science', 'Elektrotechnik, Master of Arts', 'Englisch (Lehramt), Master of Science', 'Ethik / Philosophie (Lehramt), Master', 'Europäische Sprachen, Bachelor of Science', 'Evangelische Religion (Lehramt), Bachelor of Science, Diplom, Master of Science', 'Evangelische Theologie, Staatsexamen', 'Farbtechnik/Raumgestaltung und Oberflächentechnik (Lehramt), Diplom', 'Forstwissenschaften, Master of Laws', 'Französisch (Lehramt), Bachelor of Arts, Master of Arts', 'Gemeinschaftskunde / Rechtserziehung (Lehramt), Master of Science', 'Geodäsie, Staatsexamen', 'Geodäsie und Geoinformation, Staatsexamen', 'Geographie, Bachelor of Arts', 'Geographie (Lehramt), Bachelor of Arts', 'Geoinformationstechnologien, Staatsexamen', 'Germanistik, Bachelor of Arts, Master of Arts', 'Geschichte, Staatsexamen', 'Geschichte (Lehramt), Bachelor of Science, Master of Science', 'Gesundheit und Pflege (Lehramt), Staatsexamen', 'Gesundheitswissenschaften / Public Health, Staatsexamen', 'Hebammenkunde — Duales Studium, Staatsexamen', 'Holztechnik (Lehramt), Staatsexamen', 'Holztechnologie und Holzwirtschaft, Staatsexamen', 'Hydro Science and Engineering, Staatsexamen', 'Hydrobiologie, Staatsexamen', 'Hydrologie, Master of Arts', 'Hydrowissenschaften, Master of Science', 'Informatik, Bachelor of Science, Diplom', 'Informatik (Lehramt), Diplom', 'Informationssystemtechnik, Bachelor of Science, Master of Science', 'International Studies in Intellectual Property Law, Staatsexamen', 'Internationale Beziehungen, Diplom', 'Internationales Management, Master of Science', 'Italienisch (Lehramt), Bachelor of Arts', 'Katholische Religion (Lehramt), Bachelor of Science, Master of Science', 'Katholische Theologie im interdiziplinären Kontext, Staatsexamen', 'Klassische Philologie, Staatsexamen', 'Kunst (Lehramt), Staatsexamen', 'Kunstgeschichte, Master of Science', 'Labor und Prozesstechnik (Lehramt), Master of Science', 'Landschaftsarchitektur, Bachelor of Science', 'Latein (Lehramt), Staatsexamen', 'Lebensmittel-, Ernährungs- und Hauswirtschaftswissenschaft (Lehramt), Master of Science', 'Lebensmittelchemie, Master of Science', 'Lehramt an berufsbildenden Schulen, Master of Science', 'Lehramt an Grundschulen, Master of Science', 'Lehramt an Gymnasien, Bachelor of Arts, Master of Arts', 'Lehramt an Oberschulen, Bachelor of Science, Master of Science', 'Literatur und Kultur im gesellschaftlichen Wandel, Staatsexamen', 'Luftverkehr und Logistik, Master of Arts', 'Maschinenbau, Bachelor of Arts', 'Maschinenbau Aufbaustudium, Bachelor of Science', 'Mathematik, Master of Science', 'Mathematik (Lehramt), Master of Science', 'Mechatronik, Master of Science', 'Medical Radiation Sciences, Master of Science', 'Medienforschung, Master of Science', 'Medieninformatik, Diplom', 'Medizin, Bachelor of Arts', 'Metall- und Maschinentechnik (Lehramt), Staatsexamen', 'Modellstudiengang Humanmedizin (MEDiC), Bachelor of Arts', 'Molecular Bioengineering, Master of Arts', 'Molecular Biosciences and Productive Biosystems, Staatsexamen', 'Molekulare Biologie und Biotechnologie, Bachelor of Arts', 'Musik (Lehramt), Bachelor of Arts, Master of Arts', 'Nanobiophysics, Bachelor of Arts', 'Nanoelectronic Systems, Master of Science', 'Organic and Molecular Electronics, Master of Science', 'Organismic and Molecular Biodiversity, Master of Science', 'Philosophie, Master of Science', 'Physik, Bachelor of Science, Diplom', 'Physik (Lehramt), Diplom', 'Politik und Verfassung, Diplom', 'Politikwissenschaft, Bachelor of Science', 'Psychologie, Master of Arts', 'Psychologie - Klinische Psychologie und Psychotherapie, Master of Science', 'Psychologie: Cognitive-Affective Neuroscience, Master of Science', 'Psychologie: Human Performance in Socio-Technical Systems, Master of Arts', 'Raumentwicklung und Naturressourcenmanagement, Bachelor of Science, Diplom', 'Regenerative Biology and Medicine, Staatsexamen', 'Regenerative Energiesysteme, Diplom', 'Romanistik, Diplom', 'Russisch (Lehramt), Bachelor of Science, Master of Science', 'Slavistik, Bachelor of Science, Master of Science', 'Sozialpädagogik, Bachelor of Science', 'Sozialpädagogik (Lehramt), Staatsexamen']"
5,a-10056,SRH Berlin University of Applied Sciences - Dresden School of Management,Dresden,01097,Sachsen,Georgenstraße 7,privat,950,2002,51.06214210000, 13.74714530000,"0,0%","0,0%","0,0%","0,0%","33,3%","66,7%","0,0%","0,0%","0,0%","0,0%","[', Bachelor of Arts', 'International Hotel Management, Bachelor', 'Internationales Hotelmanagement, Bachelor of Arts', ', Bachelor of Arts', ', Bachelor of Arts', ', Bachelor of Arts', ', Bachelor of Arts', ', Bachelor of Science']"
6,a-371,Palucca Hochschule für Tanz Dresden,Dresden,01277,Sachsen,Basteiplatz 4,staatlich,200,1925,51.02907000000, 13.77088000000,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","100,0%","0,0%","['Choreografie, Master of Arts', 'Tanz, Bachelor of Arts', 'Tanzpädagogik, Bachelor of Arts, Master of Arts']"
7,a-45,Berufsakademie Sachsen – Staatliche Studienakademie Dresden (University of Cooperative Education),Dresden,01307,Sachsen,Hans-Grundig-Str. 25,staatlich,1100,1991,51.05267630000, 13.76147490000,"12,5%","12,5%","18,8%","0,0%","0,0%","50,0%","0,0%","6,3%","0,0%","0,0%","[', Bachelor of Arts', 'Betriebswirtschaft Handel (dual), Bachelor of Arts', 'Betriebswirtschaft Industrie (dual), Bachelor of Science', ', Bachelor of Arts', ', Bachelor of Arts', ', Bachelor of Engineering', ', Bachelor of Engineering', ', Bachelor of Engineering', ', Bachelor of Arts', ', Bachelor of Arts', ', Bachelor of Arts', ', Bachelor of Science']"
8,a-90,Evangelische Hochschule Dresden,Dresden,01307,Sachsen,Dürerstraße 25,kirchlich,622,1991,51.05220930000, 13.76070070000,"0,0%","0,0%","0,0%","27,3%","72,7%","0,0%","0,0%","0,0%","0,0%","0,0%","[', Master', 'Evangelische Religions- und Gemeindepädagogik, Bachelor of Arts', 'Kindheitspädagogik, Bachelor of Arts', ', Bachelor of Arts', ', Bachelor of Science', ', Master of Science', ', Bachelor of Science', ', Bachelor of Arts, Master of Arts', ', Bachelor of Arts', ', Master of Business Administration']"
9,a-252,Hochschule für Bildende Künste Dresden,Dresden,01307,Sachsen,Güntzstraße 34,staatlich,640,1764,51.05274000000, 13.75869000000,"0,0%","0,0%","0,0%","16,7%","0,0%","0,0%","0,0%","16,7%","66,7%","0,0%","[', Diplom', 'Bildende Kunst (Diplom), Diplom', 'Bühnen- und Kostümbild (Diplom), Diplom', ', Diplom', ', Diplom']"
